date,avg_hourly_temperature,min_windchill,avg_dew_point,max_wind_gust,wind_gust_dir_10s,avg_health_index,precipitation,sunlight
2016-06-01,,,,windy_direction,S,,,16+
2016-05-31,,,,,,,,16+
2016-05-30,,,,windy_direction,N,,yes,16+
2016-05-29,,,,strong_winds,N,,yes,16+
2016-05-28,,,,strong_winds,SSW,,yes,16+
2016-05-27,,,,windy_direction,WSW,,,16+
2016-05-26,,,,strong_winds,S,,yes,16+
2016-05-25,,,,windy_direction,NW,,yes,16+
2016-05-24,,,,windy_direction,SE,,,16+
2016-05-23,,,,windy_direction,N,,yes,16+
2016-05-22,,,,windy_direction,N,,yes,16+
2016-05-21,,,,windy_direction,NW,,yes,16+
2016-05-20,,,,strong_winds,WNW,,yes,16+
2016-05-19,,,,strong_winds,WNW,,yes,16+
2016-05-18,,,,strong_winds,NNE,,yes,16+
2016-05-17,,,,strong_winds,NW,,yes,16+
2016-05-16,,,,strong_winds,S,moderate,,15
2016-05-15,,,,windy,SE,moderate,,15
2016-05-14,,,,,,moderate,,15
2016-05-13,,low,,,,,yes,15
2016-05-12,,,,strong_winds,N,,,15
2016-05-11,,,,windy_direction,NNE,,,15
2016-05-10,,,,windy_direction,NNW,,,15
2016-05-09,,,,strong_winds,N,moderate,,15
2016-05-08,,,,strong_winds,WNW,,,15
2016-05-07,,,,windy_direction,SSW,moderate,,15
2016-05-06,,,,windy_direction,W,moderate,,15
2016-05-05,,,,strong_winds,NW,,,15
2016-05-04,,,,strong_winds,N,,yes,15
2016-05-03,hot,,,windy,SSW,,,15
2016-05-02,,,,,,,,15
2016-05-01,,,,windy,WNW,,,15
2016-04-30,,,,windy_direction,SSW,,,15
2016-04-29,,,,strong_winds,SSE,,,14
2016-04-28,,,,strong_winds,SSE,,,14
2016-04-27,,,,windy_direction,SSE,,yes,14
2016-04-26,,,,,,,,14
2016-04-25,,,,,,,yes,14
2016-04-24,,,,,,,yes,14
2016-04-23,,,,windy_direction,SE,,yes,14
2016-04-22,,,,strong_winds,E,,,14
2016-04-21,,moderate,,strong_winds,E,,,14
2016-04-20,,,,windy_direction,E,,,14
2016-04-19,,,,strong_winds,S,,,14
2016-04-18,,,,strong_winds,S,,,14
2016-04-17,,,,windy_direction,S,,,14
2016-04-16,,,,strong_winds,S,,,14
2016-04-15,,moderate,,strong_winds,SSE,,,14
2016-04-14,,low,,windy_direction,NNW,,,13
2016-04-13,,,,strong_winds,NW,,,13
2016-04-12,,,,,,,,13
2016-04-11,,moderate,,windy_direction,W,,,13
2016-04-10,,moderate,,,,,,13
